ZONING_ID,ZONING,ZONE_FILE,PD_USE,PD_DENSITY,DEV_AS_PD,COLOR_CODE,TOPOLOGY_VALIDATION
5648,A(PD),85001,Res,14.9,Yes,2,Yes
6594,R-1-5,,,0,,1,Yes
1996,A(PD),05002,Res,9.1,Yes,2,Yes
2141,IP,78060,,0,,13,Yes
2142,R-2,,,0,,2,Yes
2143,R-2,,,0,,2,Yes
2144,CP,,,0,,5,Yes
2145,CO,,,0,,4,Yes
2146,R-2,,,0,,2,Yes
2271,R-2,,,0,,2,Yes
3891,A(PD),04100,Com,0,,6,No
2171,R-1-8(PD),72133,Res,35.2,Yes,3,Yes
1872,A(PD),81157,Com,0,,6,Yes
1873,R-2,,,0,,2,Yes
6211,IP,,,0,,13,Yes
1875,LI,,,0,,14,Yes
1876,A(PD),89116,Res,30.4,Yes,3,Yes
6208,CN,,,0,,6,Yes
1878,HI,,,0,,15,Yes
1879,CN,,,0,,6,Yes
1765,A(PD),79043,Res,9.9,Yes,2,Yes
8112,A(PD),06025,Res,50,Yes,3,No
1812,CG(PD),71200,Mix,87.6,,18,Yes
1813,CO(PD),72165,Res,336.8,Yes,3,Yes
1814,A(PD),97009,Mix,61.2,Yes,18,Yes
1815,A(PD),96082,Mix,69,Yes,18,Yes
1816,A(PD),98100,Mix,108,Yes,18,Yes
1937,A(PD),01031,Res,16.7,Yes,2,Yes
1938,CP,,,0,,5,Yes
1940,A(PD),90056,Res,7.4,Yes,1,Yes
4201,CN,,,0,,6,Yes
1846,A(PD),91061,Com,0,,6,Yes
6585,CG,99001,,0,,7,Yes
2089,A,,,0,,17,Yes
2091,A(PD),81136,Com,0,,6,Yes
7182,R-MH,,,0,,2,Yes
5749,R-M,80078,,0,,3,Yes
6994,R-2,,,0,,2,Yes
2173,A(PD),87046,Res,18.2,Yes,2,Yes
2174,CO,,,0,,4,Yes
2175,A(PD),80117,Com,0,,6,Yes
2069,A(PD),81143,Res,7.9,Yes,1,Yes
1766,A(PD),02072,Res,76,Yes,3,Yes
1767,A(PD),96058,Res,50.8,Yes,3,Yes
5208,A(PD),72131,OS,0,,17,Yes
3958,A(PD),05014,Res,26.6,Yes,3,Yes
1847,CN,03011,,0,,6,Yes
4164,R-1-2(PD),77083,Res,1.9,Yes,1,Yes
4729,LI,,,0,,14,Yes
4168,A(PD),78100,Res,4.3,Yes,1,Yes
2259,LI,,,0,,14,Yes
2260,LI,,,0,,14,Yes
7518,A(PD),81096,Res,7.6,Yes,1,Yes
5750,A(PD),79049,Res,13.5,Yes,2,Yes
2128,CO,,,0,,4,Yes
5751,R-M(PD),77031,Res,20.8,Yes,2,Yes
2130,CO,03014,,0,,4,Yes
2132,A(PD),00009,Res,14,Yes,2,Yes
2133,A(PD),93011,Mix,29,Yes,18,Yes
5752,CP,,,0,,5,Yes
2050,A(PD),89083,Ind,0,,13,Yes
8066,CG,07048,,0,,7,Yes
4388,R-M,,,0,,3,Yes
6498,R-2,,,0,,2,Yes
2102,A(PD),80052,Ind,0,,13,Yes
2103,A(PD),87025,Ind,0,,13,Yes
2104,A(PD),71136,Ind,0,,13,Yes
1803,CP,04020,,0,,5,Yes
1804,A(PD),97072,Res,12.7,Yes,2,Yes
1927,CN,,,0,,6,Yes
1928,CO,62066,,0,,4,Yes
1929,CP,05088,,0,,5,Yes
1931,A(PD),87099,Res,6.5,Yes,1,Yes
1837,A(PD),96064,Res,5.2,Yes,1,Yes
1838,A(PD),05070,Res,6.8,Yes,1,Yes
1839,A(PD),79101,Res,14.2,Yes,2,Yes
1962,R-1-8,,,0,,1,Yes
4223,R-M,,,0,,3,Yes
4225,R-2,,,0,,2,Yes
4226,R-1-5,,,0,,1,Yes
2042,IP,,,0,,13,Yes
2043,A,,,0,,17,Yes
2044,A,,,0,,17,Yes
2046,A(PD),99078,Com,0,,6,Yes
2051,A(PD),81155,Ind,0,,13,Yes
2052,A(PD),81057,Ind,0,,13,Yes
2053,IP(PD),91005,Ind,0,,13,Yes
6288,A(PD),88104,Res,7.8,Yes,1,Yes
2163,CN,,,0,,6,Yes
2165,CO(PD),70061,Com,0,,4,Yes
2236,R-M,,,0,,3,Yes
6497,A(PD),85017,Com,0,,6,Yes
2238,CO,,,0,,4,Yes
2240,CO,,,0,,4,Yes
5824,A(PD),86004,Res,8,Yes,1,Yes
2273,R-M,,,0,,3,Yes
2274,A(PD),86004,Com,0,,6,Yes
2276,A(PD),86003,Com,0,,6,Yes
2277,A(PD),81054,Res,51.6,Yes,3,Yes
4683,A(PD),01038,OS,0,,17,Yes
1964,A(PD),03050,Res,5,Yes,1,Yes
1965,R-1-8(PD),71041,Res,8.2,Yes,2,Yes
6714,A(PD),70112,Ind,0,,13,Yes
6716,IP,05008,,0,,13,Yes
1988,A(PD),98057,Res,8,Yes,1,Yes
1989,R-M,04005,,0,,3,Yes
6717,HI,,,0,,15,Yes
5839,A(PD),79095,Res,15.9,Yes,2,Yes
2627,A(PD),89143,Res,35,Yes,3,Yes
2628,A(PD),76184,Res,30.6,Yes,3,Yes
2629,CO,,,0,,4,Yes
2554,CG,,,0,,7,Yes
2646,R-1-8,,,0,,1,Yes
2775,A(PD),89121,Res,38.9,No,3,Yes
2776,A(PD),87085,Res,39.6,Yes,3,Yes
2777,A(PD),80189,Res,27.3,Yes,3,Yes
6185,R-1-8,,,0,,1,Yes
