STM_OTF_ID,COMPKEY,COMPTYPE,TYPE,PCD_TYPE,PCD_IN_DAT,PCD_MANUF,STATUS,FLAP_BRAND,AGENCY,OWNER,QTR_PANEL,WATERWAY,MAJ_W_SHED,LONG_NAD83,LAT_NAD83,DETAL_LINK,QUALTY_LEV,REC_DRAW,OTH_PN_CRE,OTH_PN_MOD,CONST_DATE,ACCEP_DATE,AT_MOD_DAT,GE_MOD_DAT,MESSAGE
625,,87,Pipe,,,,EXISTING,,,San Jose,142A,Greystone Creek,Guadalupe River,-121.858224,37.221969,,C2,0,MGE,,,,20110916122546,20110907171416,
645,,87,Pipe,,,,EXISTING,,,San Jose,116A,Coyote Creek,Coyote,-121.810935,37.277098,,C2,0,DD-0381,,20030124000000,,20110916122546,20140807091631,MRF:Can't locate the Outfall from Google Earth or Orthophoto
678,,87,Riprap,,,,EXISTING,,,San Jose,129C,Canoas Creek,Guadalupe River,-121.837746,37.23398,,C2,0,MGE,,,,20110916122546,20110902060508,
679,,87,Riprap,,,,EXISTING,,,San Jose,129D,Canoas Creek,Guadalupe River,-121.813887,37.235024,,C2,0,MGE,,,,20110916122546,20110902060508,
997,,87,Riprap,,,,EXISTING,,,San Jose,142D,Calero Creek,Guadalupe River,-121.824008,37.207262,,C2,0,MGE,,,,20110916122546,20110902060508,MRF:Can't locate the outfall from Google Earth or Orthophoto
1002,,87,Riprap,,,,EXISTING,,,San Jose,142C,Randol Creek,Guadalupe River,-121.847813,37.206839,,C2,0,MGE,,,,20110916122546,20110907174551,MRF:Can't locate the outfall from Google Earth or Orthophoto
1007,,87,Riprap,,,,EXISTING,,,San Jose,142D,Alamitos Creek,Guadalupe River,-121.834875,37.212519,,C2,0,MGE,,,,20110916122546,20110902060509,MRF:Can't locate the outfall from Google Earth or Orthophoto
1009,,87,Riprap,,,,EXISTING,,,San Jose,142C,Alamitos Creek,Guadalupe River,-121.841716,37.216777,,C2,0,MGE,,,,20110916122546,20110902060510,MRF:Can't locate the outfall from Google Earth or Orthophoto
1010,,87,Riprap,,,,EXISTING,,,San Jose,142C,Alamitos Creek,Guadalupe River,-121.83946,37.21575,,C2,0,MGE,,,,20110916122546,20110902060510,MRF:Can't locate the outfall from Google Earth or Orthophoto
1014,,87,Pipe,,,,EXISTING,,,San Jose,155A,Greystone Creek,Guadalupe River,-121.859375,37.204736,,C2,0,MGE,,,,20110916122546,20110902060511,MRF:Can't locate the outfall from Google Earth or Orthophoto
1016,,87,Riprap,,,,EXISTING,,,San Jose,155A,Greystone Creek,Guadalupe River,-121.860344,37.203473,,C2,0,MGE,,,,20110916122546,20110902060511,MRF:Can't locate the outfall from Google Earth or Orthophoto
1022,,87,Riprap,,,,EXISTING,,,San Jose,142A,Alamitos Creek,Guadalupe River,-121.860745,37.228033,,C2,0,TR3786,,,,20131125155626,20110902060512,MRF:Can't locate the outfall from Google Earth or Orthophoto
1023,,87,Riprap,,,,EXISTING,,,San Jose,142A,Alamitos Creek,Guadalupe River,-121.858491,37.22502,,C2,0,MGE,,,,20110916122546,20110909100403,MRF:Can't locate the outfall from Google Earth or Orthophoto
