GP_DESIGN,GP_ABBR,GP_CODE,ACRES,PLAN_COMM,COLOR_RGB,LABEL_ORDER,PID
Neighborhood/Community Commercial,NCC,,15.28,Urban Village,"255, 125, 189",7,9186
Neighborhood/Community Commercial,NCC,,10.98,Urban Village,"255, 125, 189",7,9188
Neighborhood/Community Commercial,NCC,,6.85,Urban Village,"255, 125, 189",7,9189
Neighborhood/Community Commercial,NCC,,2.81,Urban Village,"255, 125, 189",7,9190
Neighborhood/Community Commercial,NCC,,1.23,Urban Village,"255, 125, 189",7,9191
Residential Neighborhood,RN,,0.88,,"255, 255, 133",17,8928
Residential Neighborhood,RN,,0.42,,"255, 255, 133",17,8929
Residential Neighborhood,RN,,67.8,,"255, 255, 133",17,8931
Residential Neighborhood,RN,,9.21,,"255, 255, 133",17,8932
Residential Neighborhood,RN,,7.94,,"255, 255, 133",17,8933
Residential Neighborhood,RN,,7.06,,"255, 255, 133",17,8934
Residential Neighborhood,RN,,6.94,,"255, 255, 133",17,8935
Residential Neighborhood,RN,,6.83,,"255, 255, 133",17,8936
Residential Neighborhood,RN,,6.35,,"255, 255, 133",17,8937
Residential Neighborhood,RN,,6.03,,"255, 255, 133",17,8938
Residential Neighborhood,RN,,5.85,,"255, 255, 133",17,8939
Residential Neighborhood,RN,,4.93,,"255, 255, 133",17,8940
Residential Neighborhood,RN,,4.91,,"255, 255, 133",17,8941
Residential Neighborhood,RN,,2.71,,"255, 255, 133",17,8944
Residential Neighborhood,RN,,1.35,,"255, 255, 133",17,9005
Residential Neighborhood,RN,,1.23,,"255, 255, 133",17,9006
Residential Neighborhood,RN,,0.82,,"255, 255, 133",17,9007
Residential Neighborhood,RN,,2.87,,"255, 255, 133",17,9077
Residential Neighborhood,RN,,2.87,,"255, 255, 133",17,9078
Neighborhood/Community Commercial,NCC,,0.72,Urban Village,"255, 125, 189",7,9192
Neighborhood/Community Commercial,NCC,,0.47,Urban Village,"255, 125, 189",7,9193
"Open Space, Parklands and Habitat",OSPH,,294.1,,"96, 160, 0",22,9194
"Open Space, Parklands and Habitat",OSPH,,30.28,,"96, 160, 0",22,9195
"Open Space, Parklands and Habitat",OSPH,,11.61,,"96, 160, 0",22,9196
Residential Neighborhood,RN,,1.07,,"255, 255, 133",17,8950
Public/Quasi-Public,PQP,,4.13,,"209, 255, 240",12,8959
Residential Neighborhood,RN,,3.27,,"255, 255, 133",17,8962
Residential Neighborhood,RN,,0.78,,"255, 255, 133",17,9008
Residential Neighborhood,RN,,0.66,,"255, 255, 133",17,9009
Residential Neighborhood,RN,,0.53,,"255, 255, 133",17,9010
Residential Neighborhood,RN,,2.85,,"255, 255, 133",17,9079
Residential Neighborhood,RN,,2.81,,"255, 255, 133",17,9080
"Open Space, Parklands and Habitat",OSPH,,4.97,,"96, 160, 0",22,9197
"Open Space, Parklands and Habitat",OSPH,,4.92,,"96, 160, 0",22,9198
Residential Neighborhood,RN,,1.31,,"255, 255, 133",17,11542
Residential Neighborhood,RN,,12.92,,"255, 255, 133",17,11544
Residential Neighborhood,RN,,3.18,,"255, 255, 133",17,8963
Residential Neighborhood,RN,,2.85,,"255, 255, 133",17,8964
Combined Industrial/Commercial,CIC,,29.06,,"212, 97, 252",8,9013
Combined Industrial/Commercial,CIC,,26.35,,"212, 97, 252",8,9014
Residential Neighborhood,RN,,2.78,,"255, 255, 133",17,9081
Residential Neighborhood,RN,,2.7,,"255, 255, 133",17,9082
"Open Space, Parklands and Habitat",OSPH,,2.86,,"96, 160, 0",22,9199
"Open Space, Parklands and Habitat",OSPH,,2.84,,"96, 160, 0",22,9200
"Open Space, Parklands and Habitat",OSPH,,2.82,,"96, 160, 0",22,9201
Residential Neighborhood,RN,,2.56,,"255, 255, 133",17,8965
Residential Neighborhood,RN,,2.12,,"255, 255, 133",17,8966
Residential Neighborhood,RN,,0.8,,"255, 255, 133",17,8967
Neighborhood/Community Commercial,NCC,,21.98,Urban Village,"255, 125, 189",7,9016
Residential Neighborhood,RN,,11.21,,"255, 255, 133",17,9034
Residential Neighborhood,RN,,10.01,,"255, 255, 133",17,9035
Residential Neighborhood,RN,,9.76,,"255, 255, 133",17,9036
Residential Neighborhood,RN,,8.49,,"255, 255, 133",17,9037
Residential Neighborhood,RN,,8.26,,"255, 255, 133",17,9038
Residential Neighborhood,RN,,7.63,,"255, 255, 133",17,9039
Residential Neighborhood,RN,,7.45,,"255, 255, 133",17,9040
Residential Neighborhood,RN,,7.24,,"255, 255, 133",17,9041
Residential Neighborhood,RN,,7.16,,"255, 255, 133",17,9042
Residential Neighborhood,RN,,6.68,,"255, 255, 133",17,9043
Residential Neighborhood,RN,,6.62,,"255, 255, 133",17,9044
Residential Neighborhood,RN,,6.29,,"255, 255, 133",17,9045
Residential Neighborhood,RN,,5.98,,"255, 255, 133",17,9046
Residential Neighborhood,RN,,5.43,,"255, 255, 133",17,9047
Residential Neighborhood,RN,,5.18,,"255, 255, 133",17,9048
Residential Neighborhood,RN,,2.66,,"255, 255, 133",17,9083
Residential Neighborhood,RN,,2.57,,"255, 255, 133",17,9084
"Open Space, Parklands and Habitat",OSPH,,2.78,,"96, 160, 0",22,9202
"Open Space, Parklands and Habitat",OSPH,,2.46,,"96, 160, 0",22,9203
"Open Space, Parklands and Habitat",OSPH,,2.38,,"96, 160, 0",22,9204
Residential Neighborhood,RN,,0.45,,"255, 255, 133",17,8968
Residential Neighborhood,RN,,5.56,,"255, 255, 133",17,8972
Residential Neighborhood,RN,,5,,"255, 255, 133",17,8973
Residential Neighborhood,RN,,4.65,,"255, 255, 133",17,8974
Residential Neighborhood,RN,,5.06,,"255, 255, 133",17,9049
Residential Neighborhood,RN,,5,,"255, 255, 133",17,9050
Residential Neighborhood,RN,,4.77,,"255, 255, 133",17,9051
Residential Neighborhood,RN,,4.76,,"255, 255, 133",17,9052
Residential Neighborhood,RN,,2.15,,"255, 255, 133",17,9085
Residential Neighborhood,RN,,1.56,,"255, 255, 133",17,9086
Residential Neighborhood,RN,,1.49,,"255, 255, 133",17,9087
Residential Neighborhood,RN,,1.14,,"255, 255, 133",17,9088
"Open Space, Parklands and Habitat",OSPH,,2.22,,"96, 160, 0",22,9205
"Open Space, Parklands and Habitat",OSPH,,1.62,,"96, 160, 0",22,9206
"Open Space, Parklands and Habitat",OSPH,,1.19,,"96, 160, 0",22,9207
Residential Neighborhood,RN,,4.5,,"255, 255, 133",17,9218
Residential Neighborhood,RN,,3.3,,"255, 255, 133",17,9223
Residential Neighborhood,RN,,6.71,,"255, 255, 133",17,9228
Residential Neighborhood,RN,,5.89,,"255, 255, 133",17,9230
Residential Neighborhood,RN,,4.14,,"255, 255, 133",17,8975
Residential Neighborhood,RN,,4.11,,"255, 255, 133",17,8976
Residential Neighborhood,RN,,40.61,,"255, 255, 133",17,8992
Residential Neighborhood,RN,,13.91,,"255, 255, 133",17,8993
Residential Neighborhood,RN,,4.73,,"255, 255, 133",17,9053
Residential Neighborhood,RN,,4.56,,"255, 255, 133",17,9054
Residential Neighborhood,RN,,4.51,,"255, 255, 133",17,9055
Residential Neighborhood,RN,,4.4,,"255, 255, 133",17,9056
Residential Neighborhood,RN,,3.86,,"255, 255, 133",17,9066
Residential Neighborhood,RN,,1.08,,"255, 255, 133",17,9089
Residential Neighborhood,RN,,0.75,,"255, 255, 133",17,9090
Residential Neighborhood,RN,,0.4,,"255, 255, 133",17,9091
Residential Neighborhood,RN,,0.27,,"255, 255, 133",17,9092
Residential Neighborhood,RN,,2.73,,"255, 255, 133",17,9224
Residential Neighborhood,RN,,1.64,,"255, 255, 133",17,9225
Residential Neighborhood,RN,,3.49,,"255, 255, 133",17,8977
Residential Neighborhood,RN,,3.38,,"255, 255, 133",17,8978
Residential Neighborhood,RN,,3.42,,"255, 255, 133",17,9312
Residential Neighborhood,RN,,3.4,,"255, 255, 133",17,9313
Rural Residential,RR,,8.37,,"255, 255, 208",18,9404
"Open Space, Parklands and Habitat",OSPH,,29.52,,"96, 160, 0",22,9408
"Open Space, Parklands and Habitat",OSPH,,6.42,,"96, 160, 0",22,9409
Residential Neighborhood,RN,,1.82,,"255, 255, 133",17,8927
Residential Neighborhood,RN,,3.57,,"255, 255, 133",17,8942
Mixed Use Neighborhood,MUN,,14.05,,"207, 161, 22",16,9147
Residential Neighborhood,RN,,3.35,,"255, 255, 133",17,9314
Residential Neighborhood,RN,,3.34,,"255, 255, 133",17,9315
"Open Space, Parklands and Habitat",OSPH,,1.68,,"96, 160, 0",22,9410
Residential Neighborhood,RN,,15.11,,"255, 255, 133",17,9412
Residential Neighborhood,RN,,13.69,,"255, 255, 133",17,9413
Residential Neighborhood,RN,,13.66,,"255, 255, 133",17,9414
Residential Neighborhood,RN,,12.53,,"255, 255, 133",17,9415
Residential Neighborhood,RN,,10.57,,"255, 255, 133",17,9416
Residential Neighborhood,RN,,10.46,,"255, 255, 133",17,9417
Residential Neighborhood,RN,,7.81,,"255, 255, 133",17,9418
Residential Neighborhood,RN,,7.75,,"255, 255, 133",17,9419
Residential Neighborhood,RN,,7.29,,"255, 255, 133",17,9420
Residential Neighborhood,RN,,6.73,,"255, 255, 133",17,9421
Residential Neighborhood,RN,,6.56,,"255, 255, 133",17,9422
Residential Neighborhood,RN,,3.56,,"255, 255, 133",17,8943
Residential Neighborhood,RN,,2.67,,"255, 255, 133",17,8945
Mixed Use Neighborhood,MUN,,13.17,,"207, 161, 22",16,9148
Residential Neighborhood,RN,,4.87,,"255, 255, 133",17,9245
Residential Neighborhood,RN,,3.34,,"255, 255, 133",17,9316
Residential Neighborhood,RN,,3.31,,"255, 255, 133",17,9317
Residential Neighborhood,RN,,6.37,,"255, 255, 133",17,9423
Residential Neighborhood,RN,,1.58,,"255, 255, 133",17,8946
Residential Neighborhood,RN,,1.57,,"255, 255, 133",17,8947
Residential Neighborhood,RN,,4.74,,"255, 255, 133",17,9246
Residential Neighborhood,RN,,4.36,,"255, 255, 133",17,9249
Residential Neighborhood,RN,,3.18,,"255, 255, 133",17,9318
Residential Neighborhood,RN,,3.11,,"255, 255, 133",17,9319
Residential Neighborhood,RN,,6.3,,"255, 255, 133",17,9424
Residential Neighborhood,RN,,5.96,,"255, 255, 133",17,9425
Residential Neighborhood,RN,,5.73,,"255, 255, 133",17,9426
Residential Neighborhood,RN,,5.35,,"255, 255, 133",17,9427
Residential Neighborhood,RN,,4.61,,"255, 255, 133",17,9428
Residential Neighborhood,RN,,4.5,,"255, 255, 133",17,9429
Residential Neighborhood,RN,,1.29,,"255, 255, 133",17,8948
Residential Neighborhood,RN,,1.28,,"255, 255, 133",17,8949
Mixed Use Neighborhood,MUN,,15.16,,"207, 161, 22",16,9259
Mixed Use Neighborhood,MUN,,11.66,,"207, 161, 22",16,9260
Residential Neighborhood,RN,,2.43,,"255, 255, 133",17,9320
Residential Neighborhood,RN,,2.38,,"255, 255, 133",17,9321
Residential Neighborhood,RN,,4.47,,"255, 255, 133",17,9430
Residential Neighborhood,RN,,4.32,,"255, 255, 133",17,9431
Residential Neighborhood,RN,,2.24,,"255, 255, 133",17,8957
Neighborhood/Community Commercial,NCC,,16.36,Urban Village,"255, 125, 189",7,9018
Neighborhood/Community Commercial,NCC,,16.19,,"255, 125, 189",7,9261
Neighborhood/Community Commercial,NCC,,11.8,,"255, 125, 189",7,9262
Residential Neighborhood,RN,,2.22,,"255, 255, 133",17,9322
Residential Neighborhood,RN,,1.88,,"255, 255, 133",17,9323
Residential Neighborhood,RN,,1.62,,"255, 255, 133",17,9324
Residential Neighborhood,RN,,4.27,,"255, 255, 133",17,9432
Residential Neighborhood,RN,,4.21,,"255, 255, 133",17,9433
Residential Neighborhood,RN,,4.08,,"255, 255, 133",17,9434
Neighborhood/Community Commercial,NCC,,5.61,Urban Village,"255, 125, 189",7,9019
Neighborhood/Community Commercial,NCC,,5.1,Urban Village,"255, 125, 189",7,9020
Industrial Park,IP,,32.57,,"138, 194, 230",9,9021
Neighborhood/Community Commercial,NCC,,5.8,,"255, 125, 189",7,9263
Mixed Use Neighborhood,MUN,,11.87,,"207, 161, 22",16,9266
Residential Neighborhood,RN,,1.52,,"255, 255, 133",17,9325
Residential Neighborhood,RN,,1.12,,"255, 255, 133",17,9326
Residential Neighborhood,RN,,0.88,,"255, 255, 133",17,8855
Residential Neighborhood,RN,,10.3,,"255, 255, 133",17,8868
Industrial Park,IP,,27.73,,"138, 194, 230",9,9022
Industrial Park,IP,,16.89,,"138, 194, 230",9,9023
Industrial Park,IP,,13.55,,"138, 194, 230",9,9024
Mixed Use Neighborhood,MUN,,10.75,,"207, 161, 22",16,9267
Mixed Use Neighborhood,MUN,,3.65,,"207, 161, 22",16,9268
Residential Neighborhood,RN,,0.9,,"255, 255, 133",17,9327
Mixed Use Neighborhood,MUN,,2.52,,"207, 161, 22",16,9358
Residential Neighborhood,RN,,1.63,,"255, 255, 133",17,8871
Residential Neighborhood,RN,,5.68,,"255, 255, 133",17,8880
Neighborhood/Community Commercial,NCC,,18.82,Urban Village,"255, 125, 189",7,9017
Transit Employment Center,TEC,,31.98,,"0, 85, 255",4,9025
Transit Employment Center,TEC,,16.89,,"0, 85, 255",4,9026
Transit Employment Center,TEC,,7.49,,"0, 85, 255",4,9027
Mixed Use Neighborhood,MUN,,1.53,,"207, 161, 22",16,9270
Mixed Use Neighborhood,MUN,,0.9,,"207, 161, 22",16,9271
Mixed Use Neighborhood,MUN,,2.29,,"207, 161, 22",16,9359
Mixed Use Neighborhood,MUN,,2,,"207, 161, 22",16,9360
"Open Space, Parklands and Habitat",OSPH,,7.63,,"96, 160, 0",22,9363
Residential Neighborhood,RN,,3.91,,"255, 255, 133",17,8881
Residential Neighborhood,RN,,2.08,,"255, 255, 133",17,8883
Residential Neighborhood,RN,,3.74,,"255, 255, 133",17,9107
Residential Neighborhood,RN,,2.77,,"255, 255, 133",17,9110
Mixed Use Neighborhood,MUN,,0.59,,"207, 161, 22",16,9273
Residential Neighborhood,RN,,5.89,,"255, 255, 133",17,9294
Industrial Park,IP,,75.81,,"138, 194, 230",9,9379
Residential Neighborhood,RN,,5.38,,"255, 255, 133",17,8903
Residential Neighborhood,RN,,4.03,,"255, 255, 133",17,8909
Residential Neighborhood,RN,,2.62,,"255, 255, 133",17,9111
Residential Neighborhood,RN,,2.46,,"255, 255, 133",17,9112
Residential Neighborhood,RN,,5.04,,"255, 255, 133",17,9296
Residential Neighborhood,RN,,5.01,,"255, 255, 133",17,9297
Industrial Park,IP,,45.08,,"138, 194, 230",9,9380
Residential Neighborhood,RN,,2.42,,"255, 255, 133",17,8910
Residential Neighborhood,RN,,4.09,,"255, 255, 133",17,8915
Residential Neighborhood,RN,,2.19,,"255, 255, 133",17,9113
Residential Neighborhood,RN,,1.71,,"255, 255, 133",17,9114
Residential Neighborhood,RN,,1.61,,"255, 255, 133",17,9115
Residential Neighborhood,RN,,4.95,,"255, 255, 133",17,9298
Residential Neighborhood,RN,,4.94,,"255, 255, 133",17,9299
Industrial Park,IP,,35.12,,"138, 194, 230",9,9381
Industrial Park,IP,,34.46,,"138, 194, 230",9,9382
Residential Neighborhood,RN,,3.44,,"255, 255, 133",17,8918
Residential Neighborhood,RN,,3.38,,"255, 255, 133",17,8919
Residential Neighborhood,RN,,1.56,,"255, 255, 133",17,9116
Residential Neighborhood,RN,,1,,"255, 255, 133",17,9118
Residential Neighborhood,RN,,4.33,,"255, 255, 133",17,9300
Residential Neighborhood,RN,,4.1,,"255, 255, 133",17,9301
Industrial Park,IP,,25.4,,"138, 194, 230",9,9383
Industrial Park,IP,,8.67,,"138, 194, 230",9,9384
Residential Neighborhood,RN,,3.24,,"255, 255, 133",17,8920
Residential Neighborhood,RN,,3.14,,"255, 255, 133",17,8921
Residential Neighborhood,RN,,4.67,,"255, 255, 133",17,9131
Residential Neighborhood,RN,,4.41,,"255, 255, 133",17,9133
Residential Neighborhood,RN,,4.1,,"255, 255, 133",17,9302
Residential Neighborhood,RN,,4.05,,"255, 255, 133",17,9303
Residential Neighborhood,RN,,5.71,,"255, 255, 133",17,9394
Residential Neighborhood,RN,,4.9,,"255, 255, 133",17,9398
Residential Neighborhood,RN,,3.13,,"255, 255, 133",17,8922
Residential Neighborhood,RN,,3.21,,"255, 255, 133",17,9137
Residential Neighborhood,RN,,3,,"255, 255, 133",17,9138
Residential Neighborhood,RN,,4.04,,"255, 255, 133",17,9304
Residential Neighborhood,RN,,3.77,,"255, 255, 133",17,9305
Residential Neighborhood,RN,,3.43,,"255, 255, 133",17,9399
Residential Neighborhood,RN,,2.24,,"255, 255, 133",17,9400
Residential Neighborhood,RN,,3.13,,"255, 255, 133",17,8923
Residential Neighborhood,RN,,2.92,,"255, 255, 133",17,8924
Residential Neighborhood,RN,,0.79,,"255, 255, 133",17,9143
Residential Neighborhood,RN,,2.3,,"255, 255, 133",17,11710
Residential Neighborhood,RN,,3.59,,"255, 255, 133",17,9306
Residential Neighborhood,RN,,3.59,,"255, 255, 133",17,9307
Residential Neighborhood,RN,,3.58,,"255, 255, 133",17,9308
Residential Neighborhood,RN,,1.95,,"255, 255, 133",17,9401
Residential Neighborhood,RN,,0.68,,"255, 255, 133",17,9402
Residential Neighborhood,RN,,2.69,,"255, 255, 133",17,8925
Residential Neighborhood,RN,,2.18,,"255, 255, 133",17,8926
Residential Neighborhood,RN,,0.47,,"255, 255, 133",17,9144
Residential Neighborhood,RN,,0.46,,"255, 255, 133",17,9145
Residential Neighborhood,RN,,3.58,,"255, 255, 133",17,9309
Residential Neighborhood,RN,,3.57,,"255, 255, 133",17,9310
Residential Neighborhood,RN,,3.55,,"255, 255, 133",17,9311
Mixed Use Neighborhood,MUN,,1.17,,"207, 161, 22",16,9563
Mixed Use Neighborhood,MUN,,1.08,,"207, 161, 22",16,9564
Residential Neighborhood,RN,,14.99,,"255, 255, 133",17,9589
Residential Neighborhood,RN,,9.99,,"255, 255, 133",17,9590
Residential Neighborhood,RN,,10.15,,"255, 255, 133",17,9644
Residential Neighborhood,RN,,3.51,,"255, 255, 133",17,9646
Residential Neighborhood,RN,,3.94,,"255, 255, 133",17,9754
Residential Neighborhood,RN,,2.75,,"255, 255, 133",17,9756
Mixed Use Neighborhood,MUN,,6.47,,"207, 161, 22",16,9489
Mixed Use Neighborhood,MUN,,0.82,,"207, 161, 22",16,9490
"Open Space, Parklands and Habitat",OSPH,,0.71,,"96, 160, 0",22,9495
Mixed Use Neighborhood,MUN,,21.99,,"207, 161, 22",16,9496
Mixed Use Neighborhood,MUN,,0.96,,"207, 161, 22",16,9565
Mixed Use Neighborhood,MUN,,0.84,,"207, 161, 22",16,9566
Residential Neighborhood,RN,,2.32,,"255, 255, 133",17,9647
Residential Neighborhood,RN,,4.19,,"255, 255, 133",17,9649
Residential Neighborhood,RN,,3.92,,"255, 255, 133",17,9650
Residential Neighborhood,RN,,1.53,,"255, 255, 133",17,9757
Residential Neighborhood,RN,,7.58,,"255, 255, 133",17,9765
Mixed Use Neighborhood,MUN,,17.38,,"207, 161, 22",16,9497
Mixed Use Neighborhood,MUN,,8.97,,"207, 161, 22",16,9498
Mixed Use Neighborhood,MUN,,1.26,,"207, 161, 22",16,9499
Mixed Use Neighborhood,MUN,,0.77,,"207, 161, 22",16,9567
Mixed Use Neighborhood,MUN,,0.77,,"207, 161, 22",16,9568
Residential Neighborhood,RN,,3.46,,"255, 255, 133",17,9651
Residential Neighborhood,RN,,6.1,,"255, 255, 133",17,9652
Residential Neighborhood,RN,,4.39,,"255, 255, 133",17,9653
Residential Neighborhood,RN,,4.37,,"255, 255, 133",17,9654
Residential Neighborhood,RN,,6.75,,"255, 255, 133",17,9766
Residential Neighborhood,RN,,5.05,,"255, 255, 133",17,9767
Residential Neighborhood,RN,,6.73,,"255, 255, 133",17,9504
Residential Neighborhood,RN,,5.18,,"255, 255, 133",17,9505
Mixed Use Neighborhood,MUN,,0.59,,"207, 161, 22",16,9569
Mixed Use Neighborhood,MUN,,0.38,,"207, 161, 22",16,9570
Residential Neighborhood,RN,,3.68,,"255, 255, 133",17,9655
Residential Neighborhood,RN,,16.65,,"255, 255, 133",17,9656
Residential Neighborhood,RN,,6.99,,"255, 255, 133",17,9657
Residential Neighborhood,RN,,5.44,,"255, 255, 133",17,9658
Residential Neighborhood,RN,,10.07,,"255, 255, 133",17,9659
Residential Neighborhood,RN,,6.99,,"255, 255, 133",17,9660
Residential Neighborhood,RN,,6.8,,"255, 255, 133",17,9661
Residential Neighborhood,RN,,6.54,,"255, 255, 133",17,9662
Residential Neighborhood,RN,,3.93,,"255, 255, 133",17,9663
Rural Residential,RR,,84.37,,"255, 255, 208",18,9667
Rural Residential,RR,,58.02,,"255, 255, 208",18,9668
Rural Residential,RR,,50.14,,"255, 255, 208",18,9669
Residential Neighborhood,RN,,4.71,,"255, 255, 133",17,9768
Residential Neighborhood,RN,,4.61,,"255, 255, 133",17,9769
Residential Neighborhood,RN,,4.01,,"255, 255, 133",17,9507
Residential Neighborhood,RN,,3.01,,"255, 255, 133",17,9508
Residential Neighborhood,RN,,3.33,,"255, 255, 133",17,9575
Residential Neighborhood,RN,,2.57,,"255, 255, 133",17,9576
Residential Neighborhood,RN,,4.23,,"255, 255, 133",17,9591
Residential Neighborhood,RN,,2.5,,"255, 255, 133",17,11672
Lower Hillside,LH,,7.09,,"248, 225, 206",19,9665
Rural Residential,RR,,45.07,,"255, 255, 208",18,9670
Rural Residential,RR,,43.43,,"255, 255, 208",18,9671
Rural Residential,RR,,35.97,,"255, 255, 208",18,9672
Mixed Use Neighborhood,MUN,,2.19,Urban Village,"207, 161, 22",16,11654
Rural Residential,RR,,30.6,,"255, 255, 208",18,9674
Rural Residential,RR,,30.16,,"255, 255, 208",18,9675
Rural Residential,RR,,25.41,,"255, 255, 208",18,9676
Rural Residential,RR,,24.4,,"255, 255, 208",18,9677
Residential Neighborhood,RN,,4.41,,"255, 255, 133",17,11673
"Open Space, Parklands and Habitat",OSPH,,171.63,,"96, 160, 0",22,11674
Residential Neighborhood,RN,,3.93,,"255, 255, 133",17,9770
Residential Neighborhood,RN,,3.09,,"255, 255, 133",17,9771
Residential Neighborhood,RN,,2.94,,"255, 255, 133",17,9509
Residential Neighborhood,RN,,2.82,,"255, 255, 133",17,9510
Residential Neighborhood,RN,,1.76,,"255, 255, 133",17,9577
Residential Neighborhood,RN,,1.47,,"255, 255, 133",17,9578
Rural Residential,RR,,23.57,,"255, 255, 208",18,9678
Rural Residential,RR,,21.52,,"255, 255, 208",18,9679
Rural Residential,RR,,20.68,,"255, 255, 208",18,9680
Rural Residential,RR,,15.38,,"255, 255, 208",18,9681
Rural Residential,RR,,14.69,,"255, 255, 208",18,9682
Rural Residential,RR,,14.56,,"255, 255, 208",18,9683
Rural Residential,RR,,13.4,,"255, 255, 208",18,9684
Rural Residential,RR,,12.42,,"255, 255, 208",18,9685
Rural Residential,RR,,11.81,,"255, 255, 208",18,9686
Rural Residential,RR,,10.49,,"255, 255, 208",18,9687
Rural Residential,RR,,9.91,,"255, 255, 208",18,9688
Rural Residential,RR,,9.43,,"255, 255, 208",18,9689
Rural Residential,RR,,9.15,,"255, 255, 208",18,9690
Rural Residential,RR,,6.57,,"255, 255, 208",18,9691
Rural Residential,RR,,5.14,,"255, 255, 208",18,9693
Rural Residential,RR,,5.12,,"255, 255, 208",18,9694
Rural Residential,RR,,4.63,,"255, 255, 208",18,9695
Residential Neighborhood,RN,,4.28,,"255, 255, 133",17,9775
Residential Neighborhood,RN,,6.31,,"255, 255, 133",17,9779
Residential Neighborhood,RN,,2.82,,"255, 255, 133",17,9511
Residential Neighborhood,RN,,2.69,,"255, 255, 133",17,9512
Residential Neighborhood,RN,,0.34,,"255, 255, 133",17,9522
Residential Neighborhood,RN,,1.19,,"255, 255, 133",17,9579
Residential Neighborhood,RN,,2.05,,"255, 255, 133",17,9587
Rural Residential,RR,,5.34,,"255, 255, 208",18,9692
Rural Residential,RR,,4.23,,"255, 255, 208",18,9696
Residential Neighborhood,RN,,6.27,,"255, 255, 133",17,9780
Residential Neighborhood,RN,,5.61,,"255, 255, 133",17,9781
Mixed Use Neighborhood,MUN,,5.65,,"207, 161, 22",16,10243
Residential Neighborhood,RN,,3.96,,"255, 255, 133",17,9529
Residential Neighborhood,RN,,1.84,,"255, 255, 133",17,9588
Residential Neighborhood,RN,,2.52,,"255, 255, 133",17,9592
Residential Neighborhood,RN,,30.1,,"255, 255, 133",17,9595
Residential Neighborhood,RN,,20.55,,"255, 255, 133",17,9596
Residential Neighborhood,RN,,13.03,,"255, 255, 133",17,9597
Residential Neighborhood,RN,,6.93,,"255, 255, 133",17,9598
Residential Neighborhood,RN,,6.93,,"255, 255, 133",17,9599
Residential Neighborhood,RN,,6.87,,"255, 255, 133",17,9600
Rural Residential,RR,,4.03,,"255, 255, 208",18,9698
Rural Residential,RR,,3.54,,"255, 255, 208",18,9699
Rural Residential,RR,,2.19,,"255, 255, 208",18,9701
Residential Neighborhood,RN,,2.01,,"255, 255, 133",17,9794
Residential Neighborhood,RN,,2,,"255, 255, 133",17,9795
Residential Neighborhood,RN,,3.75,,"255, 255, 133",17,9531
Residential Neighborhood,RN,,3.73,,"255, 255, 133",17,9532
Residential Neighborhood,RN,,33.96,,"255, 255, 133",17,9594
Residential Neighborhood,RN,,6.85,,"255, 255, 133",17,9601
Residential Neighborhood,RN,,6.59,,"255, 255, 133",17,9602
Residential Neighborhood,RN,,6.59,,"255, 255, 133",17,9603
Residential Neighborhood,RN,,6.37,,"255, 255, 133",17,9604
Residential Neighborhood,RN,,5.81,,"255, 255, 133",17,9605
Rural Residential,RR,,2.76,,"255, 255, 208",18,9700
Rural Residential,RR,,1.8,,"255, 255, 208",18,9702
Residential Neighborhood,RN,,2,,"255, 255, 133",17,9796
Residential Neighborhood,RN,,1.94,,"255, 255, 133",17,9797
Residential Neighborhood,RN,,3.68,,"255, 255, 133",17,9533
Residential Neighborhood,RN,,3.62,,"255, 255, 133",17,9534
Residential Neighborhood,RN,,3.61,,"255, 255, 133",17,9535
Residential Neighborhood,RN,,3.44,,"255, 255, 133",17,9537
Residential Neighborhood,RN,,5.66,,"255, 255, 133",17,9606
Residential Neighborhood,RN,,5.09,,"255, 255, 133",17,9607
Residential Neighborhood,RN,,5.01,,"255, 255, 133",17,9608
Residential Neighborhood,RN,,4.9,,"255, 255, 133",17,9609
Residential Neighborhood,RN,,4.47,,"255, 255, 133",17,9610
Residential Neighborhood,RN,,4.43,,"255, 255, 133",17,9611
Rural Residential,RR,,1.45,,"255, 255, 208",18,9703
Rural Residential,RR,,1.02,,"255, 255, 208",18,9704
Rural Residential,RR,,0.35,,"255, 255, 208",18,9705
Lower Hillside,LH,,37.03,,"248, 225, 206",19,9706
Residential Neighborhood,RN,,3.44,,"255, 255, 133",17,9439
Residential Neighborhood,RN,,3.27,,"255, 255, 133",17,9440
Residential Neighborhood,RN,,3.2,,"255, 255, 133",17,9441
Residential Neighborhood,RN,,2.84,,"255, 255, 133",17,9444
Residential Neighborhood,RN,,3.48,,"255, 255, 133",17,9536
Residential Neighborhood,RN,,3.39,,"255, 255, 133",17,9538
Residential Neighborhood,RN,,4.26,,"255, 255, 133",17,9612
Residential Neighborhood,RN,,4.15,,"255, 255, 133",17,9613
Residential Neighborhood,RN,,3.36,,"255, 255, 133",17,9614
Residential Neighborhood,RN,,3.14,,"255, 255, 133",17,9615
Residential Neighborhood,RN,,2,,"255, 255, 133",17,9616
Residential Neighborhood,RN,,1.86,,"255, 255, 133",17,9617
Lower Hillside,LH,,20.27,,"248, 225, 206",19,9707
Rural Residential,RR,,27.07,,"255, 255, 208",18,9709
Rural Residential,RR,,16.36,,"255, 255, 208",18,9710
Rural Residential,RR,,15.11,,"255, 255, 208",18,9711
